season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,Above 2.5 Score ,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,03/04/21,1882,Turkish Turkcell Super Lig,Kayserispor,Goztep,30.11,39.22,0.4053,0.3167,0.278,1.35,1.16,56.0,2.4,,,0,1.0,0.0,2.0,3,7,2,2,35,10,39,15,3,0,1.0,0.0,2.0,6,1,9,5,38,15,40,22,5,0
2020,03/04/21,1882,Turkish Turkcell Super Lig,Rizespor,Karagumruk,36.53,41.29,0.4189,0.3205,0.2606,1.52,1.29,20.0,0.0,,,0,2.0,0.0,1.0,6,5,2,2,46,15,40,10,7,0,1.0,0.0,2.0,3,1,2,1,40,13,45,19,4,0
2020,03/04/21,1882,Turkish Turkcell Super Lig,Sivasspor,Trabzonspor,47.59,55.45,0.3453,0.3691,0.2856,1.19,1.24,0.1,23.6,,,0,2.0,1.0,0.0,8,5,1,7,31,13,45,8,7,1,1.0,1.0,1.0,5,3,4,1,40,15,37,9,4,0
2020,03/04/21,1882,Turkish Turkcell Super Lig,Hatayspor,Galatasaray,44.94,61.43,0.2413,0.5254,0.2333,1.22,1.89,0.6,75.7,,,0,0.0,1.0,2.0,2,5,2,0,32,8,38,15,9,1,1.0,1.0,1.0,8,4,6,4,45,20,34,16,9,1
2020,04/04/21,1882,Turkish Turkcell Super Lig,Erzurum BB,Konyaspor,27.65,39.59,0.3558,0.3535,0.2906,1.18,1.17,46.6,6.4,,,0,0.0,1.0,2.0,2,6,1,1,30,11,44,17,8,1,1.0,1.0,1.0,2,1,4,2,30,11,48,5,6,0
2020,04/04/21,1882,Turkish Turkcell Super Lig,Ankaragucu,Antalyaspor,34.18,36.41,0.4703,0.2499,0.2798,1.42,0.95,58.9,2.8,,,0,2.0,0.0,1.0,5,4,3,2,33,19,36,8,4,0,1.0,1.0,1.0,4,1,6,3,24,10,43,11,8,0
2020,04/04/21,1882,Turkish Turkcell Super Lig,Alanyaspor,Genclerbirligi,52.67,27.75,0.6721,0.11800000000000001,0.2099,1.98,0.68,0.9,46.0,,,0,2.0,0.0,1.0,7,2,1,2,35,13,39,13,7,0,2.0,0.0,1.0,4,1,3,1,25,8,35,5,10,1
2020,04/04/21,1882,Turkish Turkcell Super Lig,Buyuksehyr,Yeni Malatyaspor,40.1,35.38,0.5158,0.2341,0.2501,1.7,1.06,54.4,41.9,,,0,1.0,1.0,1.0,3,3,1,0,34,10,33,16,7,0,0.0,1.0,2.0,4,2,6,3,26,12,44,15,5,1
2020,04/04/21,1882,Turkish Turkcell Super Lig,Kasimpasa,Besiktas,34.5,64.25,0.1664,0.6308,0.2028,1.05,2.21,53.5,84.9,,,0,0.0,2.0,1.0,3,4,1,0,35,13,28,20,5,0,2.0,1.0,0.0,6,2,4,0,38,15,42,8,4,0
2020,05/04/21,1882,Turkish Turkcell Super Lig,Fenerbahce,Denizlispor,57.1,26.86,0.8173,0.0421,0.1407,2.37,0.37,71.0,38.4,,,0,1.0,1.0,1.0,5,3,1,3,44,16,42,15,8,0,1.0,1.0,1.0,3,2,4,1,27,11,37,9,6,1
